N,P,K,temperature,humidity,ph,rainfall,label,NP_ratio,NK_ratio,PK_ratio,temp_humidity_interaction,rainfall_ph_interaction,rainfall_log
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,2.09302325581395,2.04545454545455,0.954545454545455,1712.19628303908,1319.68680713273,5.3178039448864
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,1.44067796610169,2.02380952380952,1.38095238095238,1748.59573439808,1595.22351297544,5.42783368566682
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,1.07142857142857,1.33333333333333,1.22222222222222,1893.74462732989,2069.53437979411,5.57959490216743
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,2.05555555555556,1.80487804878049,0.853658536585366,2123.48290795448,1695.28832412163,5.49661083309378
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,1.81395348837209,1.81395348837209,0.976744186046512,1642.72035703698,2004.13210999987,5.57487784963487
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,1.81578947368421,1.6046511627907,0.86046511627907,1922.3522361799,1775.82586778097,5.52964731687227
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,1.23214285714286,1.76923076923077,1.41025641025641,1876.64506192561,1546.77030529353,5.60699569334559
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice,1.74074074074074,2.29268292682927,1.29268292682927,1680.905027375,1383.76020732981,5.49295524387442
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,1.61818181818182,2.28205128205128,1.38461538461538,2047.93939371809,1540.61291909833,5.44434760422125
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,1.15254237288136,1.74358974358974,1.48717948717949,1928.36149126929,1401.63754665017,5.40361926158771
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,1.68518518518519,2.21951219512195,1.29268292682927,2159.78218643424,1425.26008740396,5.58204740135142
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,1.91489361702128,2.09302325581395,1.06976744186047,1953.10286784036,1876.33297788069,5.52578449213014
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,1.32203389830508,1.73333333333333,1.28888888888889,2167.83192146266,1453.09534561767,5.65401943584767
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,1.63157894736842,2.51351351351351,1.51351351351351,1970.59382544489,1294.04246006128,5.22723663252792
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,1.84313725490196,2.47368421052632,1.31578947368421,2070.30645143303,1456.21442922803,5.3498987307395
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,1.22448979591837,1.5,1.2,1949.85837330443,1627.37907971643,5.44710943476984
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,2.17948717948718,2.02380952380952,0.904761904761905,1787.16231044603,1728.83264587724,5.62638022144034
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,2.52777777777778,2.275,0.875,1913.4636966544,1437.81779681428,5.33397976360848
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,1.97435897435897,2.08108108108108,1.02702702702703,1753.42489752872,1336.98558741365,5.41856410656868
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,2.44444444444444,2.14634146341463,0.853658536585366,1970.9485608374,1705.24258117209,5.67777609393361
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,1.93478260869565,2.40540540540541,1.21621621621622,1716.12768758769,1195.06290321572,5.22841769046662
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,1.85365853658537,1.72727272727273,0.909090909090909,2091.01560321995,1173.15913022969,5.44839253690014
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,1.11666666666667,1.5952380952381,1.4047619047619,1777.18694717008,1282.83179284886,5.36763861391373
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,1.97619047619048,1.88636363636364,0.931818181818182,1740.58984939945,1457.8614474702,5.45578076013221
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,2.04166666666667,2.57894736842105,1.23684210526316,1910.000796324,1652.53679513556,5.41635866396309
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,1.22222222222222,1.57142857142857,1.26190476190476,2019.18774374165,1999.21142733175,5.55297464876165
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice,1.61666666666667,2.20454545454545,1.34090909090909,2215.33956754422,1705.89597278417,5.60711963064734
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,1.90196078431373,2.30952380952381,1.19047619047619,1975.70622411526,1840.31210794718,5.56552910378131
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,1.2,1.33333333333333,1.08888888888889,1755.50497347385,1499.26819404202,5.4851332449814
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,1.61538461538462,2.33333333333333,1.41666666666667,1798.4918276071,1196.44819486067,5.29319990213488
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,1.25862068965517,1.73809523809524,1.35714285714286,1821.74970276434,1585.49584247697,5.61021042489496
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice,2.55555555555556,2.24390243902439,0.853658536585366,1781.69290282526,1272.03909526862,5.30374400915252
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice,2.23684210526316,2.125,0.925,2029.35614500632,1429.8666258414,5.41909911534437
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,1.81481481481482,2.51282051282051,1.35897435897436,1654.58285308809,1356.13200815866,5.60374748429304
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,1.6,1.95555555555556,1.2,2158.75632614684,1433.62523826279,5.45588564486982
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,1.69642857142857,2.2093023255814,1.27906976744186,2201.1858687636,1150.5447390493,5.26964727259327
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice,1.70689655172414,2.75,1.58333333333333,2172.10606390018,1623.00820495137,5.61056974752599
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,2.375,2.56756756756757,1.05405405405405,1984.29363271725,1586.38542836166,5.65686333477865
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice,1.36363636363636,1.33333333333333,0.955555555555556,1743.60973091097,2213.02123847514,5.70178664130518
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,1.4,1.5,1.04761904761905,2023.97428053933,1435.11791970514,5.55309273652167
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,1.44186046511628,1.67567567567568,1.13513513513514,1869.6004384414,1599.26135626167,5.52033357384871
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,1.39130434782609,1.45454545454545,1.02272727272727,2140.81686709842,1161.77201918981,5.35138502489539
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,1.36065573770492,2.24324324324324,1.62162162162162,2051.47789335881,1386.56132129174,5.30745002656584
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice,2,2,0.975609756097561,2021.16536405241,1872.41345877204,5.70231512362304
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,1.60377358490566,1.84782608695652,1.1304347826087,2167.36831779703,1918.30494009741,5.58550779453748
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,2.52777777777778,2.33333333333333,0.897435897435897,2004.87509077989,1126.7417077115,5.21862091937775
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice,1.52,1.76744186046512,1.13953488372093,2108.50850801843,1025.42643488737,5.2880447878186
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice,1.85,1.8974358974359,1,1966.01452110004,1813.57083693681,5.45551488077201
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,1.79545454545455,1.975,1.075,1748.67715056964,1488.93416927019,5.35570951637516
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,1.57142857142857,1.91304347826087,1.19565217391304,1981.02585143053,1961.35107412057,5.54016599444248
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice,1.62162162162162,1.36363636363636,0.818181818181818,1946.26968722138,1162.46175431522,5.39773199746586
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,1.24590163934426,1.9,1.5,1610.60405306962,1411.30921970287,5.34511037344015
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,1.63157894736842,2.16279069767442,1.30232558139535,1961.67899823456,1440.33882308368,5.27859837436434
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice,1.0655737704918,1.47727272727273,1.36363636363636,1799.48833239277,1286.46235374696,5.43093953739318
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice,1.79245283018868,2.56756756756757,1.40540540540541,2198.95538187806,1588.21911997059,5.66125198155251
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,1.92307692307692,1.875,0.95,1988.13408996432,1764.68000842098,5.6522570361323
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,1.34545454545455,1.8974358974359,1.38461538461538,2141.47288233995,1547.79680943771,5.38623143652939
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice,2.45945945945946,1.97826086956522,0.782608695652174,2015.46858694966,1594.6318942803,5.59462288051862
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,1.51063829787234,1.73170731707317,1.1219512195122,1665.4813411181,1389.11147097809,5.26244960970896
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,1.76785714285714,2.75,1.52777777777778,1743.09827158047,1807.22895418228,5.63107779148305
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,1.75609756097561,1.84615384615385,1.02564102564103,1678.23331029674,1861.30765730894,5.50594569851542
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,1.40677966101695,1.80434782608696,1.26086956521739,2151.03697280663,1443.35318252974,5.50802173483192
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,1.57627118644068,2.38461538461538,1.48717948717949,1727.00773461298,1937.91901119074,5.63673475192591
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice,1.89189189189189,1.62790697674419,0.837209302325582,1763.20466523883,1405.80057289842,5.31509499127115
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice,1.58333333333333,1.76744186046512,1.09302325581395,1672.79411323164,1513.06013543768,5.57835989787437
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,2.35714285714286,2.67567567567568,1.10810810810811,2023.86101898451,1230.21933860473,5.21255047976822
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice,1.8,2.60526315789474,1.42105263157895,1698.56167956968,1111.54012658831,5.29668150024808
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,1.43333333333333,2.38888888888889,1.63888888888889,2117.41944220851,1691.58960307867,5.49926455678199
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,1.46808510638298,1.64285714285714,1.0952380952381,1898.06075093871,1318.74572432154,5.57636693402465
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice,1.59649122807018,2.39473684210526,1.47368421052632,1887.88321877393,1714.98068068586,5.60028657581575
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,1.15094339622642,1.45238095238095,1.23809523809524,2095.340041585,1409.11358528605,5.32690572087282
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice,1.45652173913043,1.71794871794872,1.15384615384615,1867.56803746485,1904.58597285925,5.56791504361736
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice,1.83720930232558,2.07894736842105,1.10526315789474,2060.48554544151,1947.45102064626,5.69241628759151
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice,1.77272727272727,1.81395348837209,1,1769.94068532854,1400.80643146874,5.26434557240541
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,1.36363636363636,2.02702702702703,1.45945945945946,2223.71772741804,1808.60385145567,5.55486277503142
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,2.62162162162162,2.10869565217391,0.782608695652174,1819.61299242408,1929.61464616457,5.63149553833287
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,1.39583333333333,1.48888888888889,1.04444444444444,2186.19812390472,2206.35522243388,5.63979291996453
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,2.02777777777778,1.87179487179487,0.897435897435897,2040.39943844101,930.717526403609,5.23082056949058
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,2.08108108108108,2.02631578947368,0.947368421052632,2190.01626628106,1193.94801923144,5.27595240436388
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice,1.92857142857143,2.07692307692308,1.05128205128205,1898.83906628495,1511.68787490906,5.30783847460521
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,1.17241379310345,1.54545454545455,1.29545454545455,2097.00275905742,1043.82474809382,5.21441578766543
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,1.56521739130435,2,1.25,2109.3191347859,1124.96713525588,5.27993674414349
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,1.12962962962963,1.38636363636364,1.20454545454545,2140.14978223989,1418.29371207388,5.41328394326043
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice,1.52272727272727,1.675,1.075,2212.91067902662,1120.5162792916,5.23513087660424
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,1.13559322033898,1.675,1.45,2036.36471131749,1200.42106839322,5.39868596187824
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice,1.08196721311475,1.69230769230769,1.53846153846154,1843.50731912507,1476.75850659976,5.44990689385093
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,1.86363636363636,2.1025641025641,1.1025641025641,1896.26786184951,1237.17117456004,5.49436537844426
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice,1.64705882352941,1.86666666666667,1.11111111111111,2074.7153418847,1084.11995024175,5.21305864693858
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,1.5,1.88372093023256,1.23255813953488,1918.5811371956,1210.07535388408,5.4583230047485
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,rice,1.7843137254902,2.21951219512195,1.21951219512195,1752.07520386055,1487.79908191962,5.44338789904403
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,rice,1.72222222222222,2.38461538461538,1.35897435897436,2205.94299248699,2054.86258803999,5.67565517948266
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice,2,2.30769230769231,1.12820512820513,1999.38003057214,1802.53011017888,5.48976941037676
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice,1.76086956521739,2.25,1.25,2125.55265896136,1348.16944880084,5.39324727724105
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,1.90243902439024,2,1.02564102564103,2219.20021889891,1874.07229508923,5.51835870737925
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,rice,1.15384615384615,1.62162162162162,1.37837837837838,1879.52378852539,1549.25739720366,5.55294592630121
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,1.87234042553192,2.04651162790698,1.06976744186047,1893.22035393516,1283.12019281925,5.27435849069452
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice,1.9375,2.44736842105263,1.23684210526316,1768.75956922754,1923.61328532903,5.69347917617062
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice,1.07142857142857,1.30434782608696,1.19565217391304,1783.96886815268,1706.98204047864,5.66496088597548
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,2.16666666666667,1.73333333333333,0.777777777777778,2247.53038052148,1298.69704982748,5.21831193072156
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,1.71052631578947,1.58536585365854,0.902439024390244,1952.70300939333,1004.87085882381,5.24393332704061
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize,1.29090909090909,4.17647058823529,3.17647058823529,1440.27611112607,504.609836403949,4.48593089942537
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize,1.35555555555556,3.38888888888889,2.44444444444444,1868.11466606101,708.884710974906,4.63731055118493
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,1.81818181818182,4.70588235294118,2.52941176470588,1686.65876925256,444.219106514618,4.21538088789082
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,1.23728813559322,3.31818181818182,2.63636363636364,1152.0486710839,400.06238929196,4.12150104447088
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize,1.56410256410256,2.9047619047619,1.80952380952381,1158.53614140266,390.696972128446,4.19627450915221
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,1.61904761904762,4,2.41176470588235,1258.88749252009,628.731425877141,4.63556523459466
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,2.21428571428571,5.16666666666667,2.27777777777778,1703.95062542207,637.845322231246,4.66782071004278
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize,1.45901639344262,4.45,3,1680.05673240831,461.658477643904,4.37028796137542
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize,1.68888888888889,4.22222222222222,2.44444444444444,1277.15954323195,382.231478703002,4.19385778428071
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize,1.09836065573771,2.57692307692308,2.30769230769231,1664.42227290455,628.02115433779,4.70244414449802
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize,1.55555555555556,3.5,2.2,1712.72251294914,551.884041977159,4.55699967599835
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize,1.8,4.09090909090909,2.22727272727273,1698.03551706908,479.321089745548,4.3182178386888
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize,1.16981132075472,3.64705882352941,3.05882352941176,1310.68025408586,444.98741335811,4.17238844033539
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize,2.04444444444444,5.41176470588235,2.58823529411765,1241.539408306,576.434115967052,4.56186484290452
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize,1.2,3,2.45454545454545,1516.44747673365,426.903794104716,4.29215328974913
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize,1.06779661016949,2.73913043478261,2.52173913043478,1009.1243165434,395.388743001069,4.17012561021785
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,maize,1.45833333333333,3.88888888888889,2.61111111111111,1733.14881270444,687.559401273122,4.65550786356931
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize,1.45238095238095,3.38888888888889,2.27777777777778,1640.81746719319,461.786923768675,4.3526565254012
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize,1.22222222222222,3.3,2.65,1388.28624785851,395.181291171554,4.19716145496229
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize,1.32142857142857,3.7,2.75,1135.25196049342,529.749938735491,4.4454254617631
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize,1.32758620689655,3.5,2.59090909090909,1840.10179148049,522.347115784356,4.39124386506763
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize,1.94117647058824,6.1875,3.125,1290.15819404909,490.881344651513,4.48950719730565
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,1.29824561403509,3.21739130434783,2.43478260869565,1218.77763524991,552.999415798646,4.40642326212351
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,maize,1.80434782608696,3.77272727272727,2.04545454545455,1106.48032559886,455.887581318891,4.39139869935349
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize,2.04081632653061,5.88235294117647,2.82352941176471,1728.87741048214,413.550467735786,4.32433009252475
